title,new_price,old_price,sale
Ноутбук игровой HP OMEN 16-c0025ur 491M1EA,104 999 ₽,114 999 ₽,
Ноутбук Lenovo IdeaPad 3 14ITL6 (82H7009QRK),27 590 ₽,31 200 ₽,
Ноутбук Digma EVE 10 A200 (ES1052EW),12 999 ₽,,
Ноутбук Acer Aspire A315-34-P3CS (NX.HE3ER.00Q),30 029 ₽,34 666 ₽,
Ультрабук Honor MagicBook X14 NBR-WAH9 Silver (5301ABDQ),55 849 ₽,,
Ноутбук HP 15-gw0037ur Black (22P93EA),52 660 ₽,,
Ноутбук игровой HP OMEN 16-c0004ur 491L9EA,119 999 ₽,144 999 ₽,-17%
Ноутбук Acer Aspire 7 A715-42G-R6VJ (NH.QBFER.001),65 999 ₽,74 999 ₽,
Ноутбук HP 15s-eq1278ur Silver (2X0N3EA),30 135 ₽,,
Игровой ноутбук HP Pavilion Gaming 17-CD2058UR Black (532321),91 890 ₽,,
Игровой ноутбук Acer Aspire 7 Aspire 7 A715-42G-R44J (NH.QDLER.004) Black (1000667104),84 999 ₽,,
Игровой ноутбук HP Victus 16-e0111ur Blue (5D5F4EA),119 999 ₽,,
Ноутбук Honor MagicBook 15 R5/8/512 Silver (BMH-WDQ9HN) (5301AAKG),69 521 ₽,,
Ноутбук Huawei BoB-WAI9 8+256GB My/S Grey (53012KRA),45 950 ₽,,
Ноутбук Irbis NB71,14 999 ₽,,
Ноутбук Apple MacBook Air 2020 M1/8GB/256GB Gold (MGND3RU/A),125 899 ₽,134 990 ₽,
Ноутбук HP 250 G8 (27K08EA),23 860 ₽,25 980 ₽,
Ноутбук Lenovo Legion 5 15ACH6H (82JU000WRK),142 900 ₽,,
Ноутбук Irbis NB64 Black (NB64),14 999 ₽,,
Ноутбук Lenovo Legion 5 15ACH6A (82NW0035RK),115 980 ₽,,
NB Honor HYM-W56 Gr,79 900 ₽,,
Ноутбук HP 255 G8 (2W1D4EA),24 340 ₽,,
